#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
243699	4842	29382	110905	248034	-	-	NOS1	Ctbp1	N-NOS|NOS|IHPS1|NC-NOS|bNOS|nNOS	50-kDaBFA-inducedADP-ribosylatedsubstrate|Bars|BARS-50|CtBP3/BARS	Affinity Capture-MS	physical	Riefler GM (2001)	11590170	9606	10116	Low Throughput	-	-	-	Affinity chromatography of brain extract with the nNOS PDZ domain	-	BioGRID
244191	581	116502	107057	250472	-	-	BAX	Bak1	BCL2L4	-	Affinity Capture-Western	physical	Henry H (2002)	11850803	9606	10116	Low Throughput	-	-	-	E1B 19K bound Bak, and the Bax-Bak interaction was inhibited;p53 dependent	-	BioGRID
244207	8031	24413	113726	246578	RP11-481A12.4	-	NCOA4	Nr3c1	ELE1|PTC3|RFG|ARA70	Gcr|Grl|GR	Reconstituted Complex	physical	Alen P (1999)	9892017	9606	10116	Low Throughput	-	-	-	ELE1alpha and ELE1beta interact in vitro with the AR, but also with the GR and the ER, in a ligand-independent way	-	BioGRID
244761	25414	25513	247449	247545	-	-	Bcar1	Pik3r1	Crkas|P130CAS|Cas	PI3KA	Affinity Capture-Western	physical	Riggins RB (2003)	12692262	10116	10116	Low Throughput	-	-	-	pool of Cas associated with p85 PI3K in cells expressing v-Crk was heavily tyrosine phosphorylated;both SH2 domains of p85 PI3K;sequences found in the Cas carboxyl terminus may be important for binding to p85 PI3K	-	BioGRID
244762	25414	25513	247449	247545	-	-	Bcar1	Pik3r1	Crkas|P130CAS|Cas	PI3KA	Far Western	physical	Riggins RB (2003)	12692262	10116	10116	Low Throughput	-	-	-	pool of Cas associated with p85 PI3K in cells expressing v-Crk was heavily tyrosine phosphorylated;both SH2 domains of p85 PI3K;sequences found in the Cas carboxyl terminus may be important for binding to p85 PI3K	-	BioGRID
245216	9261	24855	114683	246972	-	-	MAPKAPK2	Tsc2	MK2	Rc	Biochemical Activity	physical	Li Y (2003)	12582162	9606	10116	Low Throughput	-	Phosphorylation	-	-	-	BioGRID
245225	24855	7529	246972	113361	-	RP1-148E22.1	Tsc2	YWHAB	Rc	HS1|GW128|YWHAA|KCIP-1	Affinity Capture-Western	physical	Li Y (2003)	12582162	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
245270	5783	24205	111747	246393	-	-	PTPN13	Apc	PTP-BL|PTP-BAS|PTPLE|PTPL1|PNP1|PTP1E|FAP-1|hPTP1E	RATAPC	Affinity Capture-Western	physical	Erdmann KS (2000)	10951583	9606	10116	Low Throughput	-	-	-	-	-	BioGRID
245749	29382	24598	248034	246738	-	-	Ctbp1	Nos1	50-kDaBFA-inducedADP-ribosylatedsubstrate|Bars|BARS-50|CtBP3/BARS	bNOS	Affinity Capture-Western	physical	Riefler GM (2001)	11590170	10116	10116	Low Throughput	-	-	-	-	-	BioGRID
245802	24205	5783	246393	111747	-	-	Apc	PTPN13	RATAPC	PTP-BL|PTP-BAS|PTPLE|PTPL1|PNP1|PTP1E|FAP-1|hPTP1E	Two-hybrid	physical	Erdmann KS (2000)	10951583	10116	9606	Low Throughput	-	-	-	-	-	BioGRID
